"Facility";"Code";"Constant";"Description"
"WIN32";"0x80070001";"ERROR_INVALID_FUNCTION";"Incorrect function."
"WIN32";"0x80070001";"PDH_CSTATUS_NEW_DATA";"The return data value is valid and different from the last sample."
"WIN32";"0x80070002";"ERROR_FILE_NOT_FOUND";"The system cannot find the file specified."
"WIN32";"0x80070003";"ERROR_PATH_NOT_FOUND";"The system cannot find the path specified."
"WIN32";"0x80070003";"E_PATH_NOT_FOUND";"The system cannot find the path specified."
"WIN32";"0x80070004";"ERROR_TOO_MANY_OPEN_FILES";"The system cannot open the file."
"WIN32";"0x80070005";"ERROR_ACCESS_DENIED";"Access is denied."
"WIN32";"0x80070005";"E_ACCESSDENIED";"General access denied error."
"WIN32";"0x80070006";"ERROR_INVALID_HANDLE";"The handle is invalid."
"WIN32";"0x80070006";"E_HANDLE";"Invalid handle."
"WIN32";"0x80070007";"ERROR_ARENA_TRASHED";"The storage control blocks were destroyed."
"WIN32";"0x80070008";"ERROR_NOT_ENOUGH_MEMORY";"Not enough memory resources are available to process this command."
"WIN32";"0x80070009";"ERROR_INVALID_BLOCK";"The storage control block address is invalid."
"WIN32";"0x8007000A";"ERROR_BAD_ENVIRONMENT";"The environment is incorrect."
"WIN32";"0x8007000B";"ERROR_BAD_FORMAT";"An attempt was made to load a program with an incorrect format."
"WIN32";"0x8007000C";"ERROR_INVALID_ACCESS";"The access code is invalid."
"WIN32";"0x8007000D";"ERROR_INVALID_DATA";"The data is invalid."
"WIN32";"0x8007000E";"E_OUTOFMEMORY";"Ran out of memory."
"WIN32";"0x8007000E";"ERROR_OUTOFMEMORY";"Not enough memory resources are available to complete this operation."
"WIN32";"0x8007000E";"DDERR_OUTOFMEMORY";"DirectDraw does not have enough memory to perform the operation."
"WIN32";"0x8007000F";"ERROR_INVALID_DRIVE";"The system cannot find the drive specified."
"WIN32";"0x80070010";"ERROR_CURRENT_DIRECTORY";"The directory cannot be removed."
"WIN32";"0x80070011";"ERROR_NOT_SAME_DEVICE";"The system cannot move the file to a different disk drive."
"WIN32";"0x80070012";"ERROR_NO_MORE_FILES";"There are no more files."
